,car_model,car_brand,car_doors,car_year,car_odo,car_price
1540,CR-V,Honda,4 door,2022,22000,99000
1541,Camry,Toyota,4 door,2020,61000,66000
1542,GLS-Class,Mercedes-Benz,5+ doors,2016,19500,194000
1543,Altima,Nissan,4 door,2020,50000,56000
1544,Rogue,Nissan,4 door,2017,36000,48500
1545,Megane,Renault,4 door,2021,4746,68500
1546,Outlander,Mitsubishi,4 door,2020,14500,62000
1547,Cullinan,Rolls Royce,5+ doors,2021,29650,1760000
1548,G-Class,Mercedes-Benz,4 door,2015,120000,225000
1549,Renegade,Jeep,5+ doors,2020,22928,57000
1550,Koleos,Renault,4 door,2017,140000,49000
1551,Renegade,Jeep,5+ doors,2021,15223,60000
1552,Altima,Nissan,4 door,2020,45000,56500
1553,Sentra,Nissan,4 door,2013,135810,18500
1554,Outlander,Mitsubishi,4 door,2020,35000,59000
1555,Tiguan,Volkswagen,4 door,2021,50000,66500
1556,Sportage,Kia,4 door,2019,47000,66000
1557,Compass,Jeep,4 door,2020,43000,58000
1558,Jetta,Volkswagen,4 door,2017,96000,36000
1559,CR-V,Honda,4 door,2022,22000,99000
1560,Camry,Toyota,4 door,2020,61000,66000
1561,GLS-Class,Mercedes-Benz,5+ doors,2016,19500,194000
1562,Altima,Nissan,4 door,2020,50000,56000
1563,Rogue,Nissan,4 door,2017,36000,48500
1564,Megane,Renault,4 door,2021,4746,68500
1565,Outlander,Mitsubishi,4 door,2020,14500,62000
1566,Cullinan,Rolls Royce,5+ doors,2021,29650,1760000
1567,G-Class,Mercedes-Benz,4 door,2015,120000,225000
1568,Renegade,Jeep,5+ doors,2020,22928,57000
1569,Tucson,Hyundai,4 door,2017,49000,55000
1570,Fortuner,Toyota,4 door,2017,65000,79500
1571,Pilot,Honda,4 door,2022,6000,139000
1572,X Class,Mercedes-Benz,4 door,2021,53,485000
1573,G-Class,Mercedes-Benz,4 door,2022,115,1670000
1574,Impala,Chevrolet,4 door,2015,1750000,25000
1575,Cadenza,Kia,4 door,2015,200000,38500
1576,S8,Audi,4 door,2020,9000,455000
1577,Range Rover Sport,Land Rover,4 door,2018,144000,380000
1578,Range Rover Velar,Land Rover,4 door,2022,0,338000
1579,LX-Series,Lexus,4 door,2010,230000,83000
1580,Hilux,Toyota,4 door,2022,0,160000
1581,Hiace,Toyota,4 door,2022,0,137000
1582,Hiace,Toyota,4 door,2022,0,140000
1583,Range Rover,Land Rover,4 door,2018,106665,305000
1584,X6,BMW,4 door,2021,2703,585000
1585,Cayenne,Porsche,4 door,2015,156000,110000
1586,LX-Series,Lexus,4 door,2013,183000,112000
1587,GranTurismo,Maserati,2 door,2013,61000,98000
1588,Cayenne,Porsche,4 door,2013,120000,63000
1589,QX70,Infiniti,5+ doors,2016,98000,57000
1590,S-Class,Mercedes-Maybach,4 door,2016,41000,330000
1591,Pajero,Mitsubishi,4 door,2017,129194,55000
1592,Camry,Toyota,4 door,2019,44900,52000
1593,C-Class,Mercedes-Benz,4 door,2016,126000,90000
1594,Camry,Toyota,4 door,2007,241000,15000
1595,Model 3,Tesla,4 door,2022,0,260000
1596,Q50,Infiniti,4 door,2015,115000,45000
1597,Charger,Dodge,4 door,2010,285000,18000
1598,Camry,Toyota,4 door,2020,19000,114000
1599,Pajero,Mitsubishi,4 door,2014,118000,39000
1600,Camry,Toyota,4 door,2018,10500,53000
1601,G25,Infiniti,4 door,2012,170500,25000
1602,Portofino,Ferrari,2 door,2018,129000,590000
1603,Charger,Dodge,4 door,2018,78000,57000
1604,Soul,Kia,5+ doors,2019,26000,39000
1605,3,Mazda,5+ doors,2021,8888,100000
1606,Elantra,Hyundai,4 door,2019,34000,36000
1607,Elantra,Hyundai,4 door,2018,71000,36000
1608,Accent,Hyundai,4 door,2018,54000,31500
1609,Camaro,Chevrolet,2 door,2021,22000,142000
1610,Mustang,Ford,4 door,2017,35000,59000
1611,Elantra,Hyundai,4 door,2018,44000,37000
1612,Santa Fe,Hyundai,5+ doors,2017,40000,47000
1613,Sportage,Kia,5+ doors,2017,67000,57000
1614,Grand Cherokee,Jeep,5+ doors,2015,66375,98000
1615,E-Class,Mercedes-Benz,4 door,2015,103000,74000
1616,GLA,Mercedes-Benz,4 door,2015,84000,69000
1617,Aventador,Lamborghini,2 door,2022,0,2399000
1618,Patrol,Nissan,3 door,2022,0,178000
1619,S-Class,Mercedes-Benz,4 door,2010,387,39000
1620,Wrangler,Jeep,3 door,2015,85000,72000
1621,S-Class,Mercedes-Benz,4 door,2004,144000,14000
1622,Altima,Nissan,4 door,2016,85336,29500
1623,Fortis,Mitsubishi,4 door,2014,250000,13000
1624,Celerio,Suzuki,4 door,2015,64300,20000
1625,Celerio,Suzuki,4 door,2015,64300,20000
1626,Accord,Honda,4 door,2014,281000,39000
1627,Carrera / 911,Porsche,2 door,2016,22000,570000
1628,Vanquish,Aston Martin,2 door,2016,0,730000
1629,Gallardo,Lamborghini,2 door,2010,2000,499000
1630,458,Ferrari,2 door,2012,39000,595000
1631,S-Class Coupe,Mercedes-Benz,2 door,2018,26000,290000
1632,Sprinter,Mercedes-Benz,3 door,2016,600,299000
1633,Patrol,Nissan,4 door,2018,38000,165000
1634,Land Cruiser,Toyota,4 door,2022,0,420000
1635,Range Rover,Land Rover,4 door,2022,0,1020000
1636,Golf,Volkswagen,4 door,2022,0,230000
1637,Vantage,Aston Martin,2 door,2016,0,590000
1638,Range Rover,Land Rover,4 door,2018,5000,420000
1639,Veloster,Hyundai,4 door,2017,45300,63900
1640,Sunny,Nissan,5+ doors,2004,407000,10500
1641,Aventador,Lamborghini,2 door,2016,1400,950000
1642,GL-Class,Mercedes-Benz,4 door,2015,96799,147500
1643,Range Rover,Land Rover,5+ doors,2016,117000,185000
1644,Patriot,Jeep,5+ doors,2007,205000,12000
1645,S7/RS7,Audi,4 door,2013,89000,89500
1646,Sentra,Nissan,4 door,2014,184663,18500
1647,Rio,Kia,4 door,2014,80000,34000
1648,M8,BMW,4 door,2020,41000,455000
1649,Captur,Renault,5+ doors,2016,96366,25500
1650,Sprinter,Mercedes-Benz,3 door,2016,600,299000
1651,Patrol,Nissan,4 door,2018,38000,165000
