,car_model,car_brand,car_doors,car_year,car_odo,car_price
5944,RSQ3,Audi,4 door,2022,7000,339000
5945,Continental Flying Spur,Bentley,4 door,2014,85000,210000
5946,Pegas,Kia,4 door,2020,50000,39000
5947,4-Series,BMW,4 door,2019,31988,195000
5948,Wrangler Unlimited,Jeep,5+ doors,2021,20000,219000
5949,Carrera / 911,Porsche,4 door,2019,0,890000
5950,Range Rover,Land Rover,4 door,2010,80000,30000
5951,Ram,Dodge,4 door,2020,11000,110000
5952,Wrangler,Jeep,4 door,2009,8422,239000
5953,Maxima,Nissan,4 door,2016,170000,58000
5954,Sierra,GMC,2 door,2020,32000,145000
5955,Urus,Lamborghini,4 door,2021,15000,1245000
5956,Fortuner,Toyota,5+ doors,2022,15000,115000
5957,Range Rover Sport,Land Rover,4 door,2013,210000,119000
5958,Mustang,Ford,2 door,2017,61300,77000
5959,Yukon,GMC,5+ doors,2021,11412,275000
5960,Expedition,Ford,5+ doors,2021,8000,175000
5961,Explorer,Ford,4 door,2016,161000,56900
5962,Hilux,Toyota,4 door,2017,95000,57500
5963,A-Class,Mercedes-Benz,4 door,2016,85000,86000
5964,Urus,Lamborghini,5+ doors,2019,34000,1399000
5965,Patrol,Nissan,5+ doors,2019,75000,120000
5966,3-Series,BMW,4 door,2018,102839,99000
5967,Urus,Lamborghini,4 door,2021,3632,1500000
5968,G-Class,Mercedes-Benz,4 door,2021,32000,1380000
5969,GL-Class,Mercedes-Benz,4 door,2015,163000,79000
5970,ATS,Cadillac,2 door,2018,35000,169000
5971,612 Scaglietti,Ferrari,2 door,2007,39561,239000
5972,Range Rover,Land Rover,5+ doors,2022,100,659000
5973,Range Rover,Land Rover,5+ doors,2022,100,659000
5974,Dawn,Rolls Royce,2 door,2017,42000,1250000
5975,Range Rover Sport,Land Rover,4 door,2021,29200,535000
5976,Carrera / 911,Porsche,2 door,2020,22000,790000
5977,Wraith,Rolls Royce,2 door,2016,64403,669000
5978,C-Class,Mercedes-Benz,4 door,2022,200,239000
5979,Range Rover,Land Rover,4 door,2014,152000,125000
5980,C-Class,Mercedes-Benz,2 door,2017,48000,127000
5981,F-Series Pickup,Ford,4 door,2020,0,140000
5982,X-Trail,Nissan,5+ doors,2018,123000,65900
5983,Q50,Infiniti,4 door,2018,81000,136000
5984,Rav 4,Toyota,4 door,2015,134000,65000
5985,Wraith,Rolls Royce,2 door,2021,10836,1730000
5986,Prado,Toyota,5+ doors,2013,25928,100000
5987,Aventador,Lamborghini,2 door,2018,8000,1490000
5988,CR-V,Honda,4 door,2021,29000,85000
5989,595,Abarth,2 door,2021,15500,99900
5990,Rapide,Aston Martin,4 door,2014,26000,279000
5991,AMG GT 4 doors,Mercedes-Benz,4 door,2021,9436,2500000
5992,Grand Cherokee,Jeep,4 door,2019,21000,289000
5993,Continental Flying Spur,Bentley,4 door,2017,69000,389000
5994,GLC,Mercedes-Benz,4 door,2021,7101,177999
5995,Range Rover Sport,Land Rover,2 door,2015,123000,169000
5996,GLE Coupe,Mercedes-Benz,4 door,2017,133000,269000
5997,Rapide,Aston Martin,4 door,2015,102766,299000
5998,Patrol,Nissan,4 door,2022,0,239000
5999,Panamera,Porsche,4 door,2017,68000,369000
6000,Fiat-500,Fiat,2 door,2020,35000,55000
6001,GLC,Mercedes-Benz,4 door,2020,43000,219000
6002,X6,BMW,5+ doors,2018,105000,189000
6003,QX80,Infiniti,4 door,2018,52000,194900
6004,Cooper,MINI,2 door,2022,13000,179000
6005,Tahoe,Chevrolet,5+ doors,2020,85000,185000
6006,S6/RS6,Audi,4 door,2022,5000,699000
6007,812 GTS,Ferrari,2 door,2020,11000,1899000
6008,Panamera,Porsche,4 door,2014,107000,169000
6009,Ghibli,Maserati,4 door,2015,121000,89000
6010,Camaro,Chevrolet,2 door,2017,120000,169000
6011,Challenger,Dodge,2 door,2020,36000,189000
6012,S-Class,Mercedes-Benz,4 door,2016,70000,210000
6013,F-Series Pickup,Ford,5+ doors,2012,150000,95000
6014,Land Cruiser,Toyota,4 door,2022,0,427000
6015,Cullinan,Rolls Royce,4 door,2020,32540,2150000
6016,Range Rover Sport,Land Rover,4 door,2022,17,649000
6017,Range Rover Sport,Land Rover,5+ doors,2022,100,649000
6018,Patrol,Nissan,4 door,2020,60000,270000
6019,Patrol,Nissan,4 door,2020,129000,255000
6020,Patrol,Nissan,5+ doors,2020,0,195000
6021,Urus,Lamborghini,4 door,2021,4068,1949000
6022,Q8,Audi,5+ doors,2019,62162,280000
6023,7-Series,BMW,4 door,2016,55000,159000
6024,S-Class,Mercedes-Benz,2 door,2016,66929,559000
6025,Phantom,Rolls Royce,4 door,2006,63444,339000
6026,Land Cruiser,Toyota,4 door,2009,195000,73000
6027,Patrol,Nissan,4 door,2014,210000,72000
6028,Explorer,Ford,4 door,2017,217295,64500
6029,Wraith,Rolls Royce,2 door,2021,158,1849000
6030,S-Class,Mercedes-Benz,4 door,2020,8000,365000
6031,Patrol,Nissan,4 door,2021,0,280000
6032,Hilux,Toyota,4 door,2022,0,101000
6033,Patrol,Nissan,4 door,2022,0,375000
6034,L200,Mitsubishi,2 door,2022,0,58000
6035,RX-Series,Lexus,4 door,2016,72000,129000
6036,F-Series Pickup,Ford,4 door,2016,78000,89000
6037,Defender,Land Rover,2 door,2023,0,685000
6038,Panamera,Porsche,5+ doors,2018,50000,305000
6039,CLS-Class,Mercedes-Benz,4 door,2012,84607,134000
6040,AMG,Mercedes-Benz,2 door,2018,8933,469000
6041,Camry,Toyota,4 door,2019,34000,94000
6042,458 Speciale,Ferrari,2 door,2014,21860,1295000
6043,Quattroporte,Maserati,4 door,2008,47000,69000
6044,SL-Class,Mercedes-Benz,2 door,2002,81000,27000
6045,Charger,Dodge,4 door,2020,21130,79000
6046,S-Class Coupe,Mercedes-Benz,2 door,2016,14000,265000
6047,Ghost,Rolls Royce,4 door,2021,0,1898000
6048,7-Series,BMW,4 door,2022,19,489000
6049,F-Series Pickup,Ford,4 door,2014,74000,130000
6050,Patrol,Nissan,5+ doors,2014,179845,75000
6051,AMG GT 4 doors,Mercedes-Benz,4 door,2019,15000,439000
6052,Cayenne,Porsche,5+ doors,2008,159358,25000
6053,Grand Cherokee,Jeep,5+ doors,2018,27937,130000
6054,Explorer,Ford,5+ doors,2013,191571,45000
6055,XJ-Series,Jaguar,4 door,2013,64994,70000
6056,Challenger,Dodge,2 door,2013,241481,26500
6057,Patrol,Nissan,5+ doors,2013,107363,72500
6058,Pajero,Mitsubishi,5+ doors,2015,68500,51000
6059,Range Rover Velar,Land Rover,5+ doors,2018,46870,228000
6060,Mustang,Ford,2 door,2015,112676,65500
6061,Cayenne,Porsche,5+ doors,2014,91730,110000
6062,F8 Spider,Ferrari,2 door,2022,2000,1550000
6063,LX-Series,Lexus,5+ doors,2018,63863,318000
6064,Patrol,Nissan,5+ doors,2016,39000,139000
6065,Armada,Nissan,5+ doors,2009,259553,20000
6066,XE,Jaguar,4 door,2019,31000,140000
6067,Grand Cherokee,Jeep,5+ doors,2019,45682,141000
6068,Explorer,Ford,5+ doors,2006,223612,10000
6069,S3/RS3,Audi,4 door,2018,72779,184900
6070,Aveo,Chevrolet,4 door,2019,157000,26500
6071,C-Class,Mercedes-Benz,4 door,2019,41762,167000
6072,Rav 4,Toyota,4 door,2018,155000,68000
6073,Wrangler,Jeep,3 door,2020,57762,145000
6074,NX 300,Lexus,5+ doors,2018,70387,157000
6075,Patrol,Nissan,4 door,2016,100000,98500
6076,Hiace,Toyota,3 door,2021,0,80000
6077,Wraith,Rolls Royce,2 door,2022,500,1990000
6078,Boxster,Porsche,2 door,2007,88148,49500
6079,Patrol,Nissan,4 door,2019,115000,120000
6080,E-Class,Mercedes-Benz,4 door,2022,2030,365990
6081,Prado,Toyota,5+ doors,2022,0,205000
6082,ID.4,Volkswagen,4 door,2022,0,145000
6083,C-HR,Toyota,5+ doors,2022,0,102000
6084,Urus,Lamborghini,4 door,2019,72000,895000
6085,Yaris,Toyota,4 door,2022,0,58000
6086,GL-Class,Mercedes-Benz,4 door,2015,40000,155000
6087,Navigator,Lincoln,4 door,2018,96000,219900
6088,Optima,Kia,4 door,2019,64438,63000
6089,Corolla,Toyota,4 door,2019,39200,57000
6090,LR4,Land Rover,5+ doors,2015,155000,110000
6091,A8,Audi,4 door,2015,70000,128000
6092,EclipseCross,Mitsubishi,4 door,2019,0,91000
6093,A-Class,Mercedes-Benz,5+ doors,2021,29000,218000
6094,Range Rover,Land Rover,4 door,2020,39458,449000
6095,6-Series,BMW,4 door,2014,90808,89000
6096,Defender,Land Rover,3 door,2023,0,499000
6097,LR4,Land Rover,5+ doors,2010,92000,42000
6098,Silverado,Chevrolet,4 door,2021,4000,163000
6099,Discovery,Land Rover,4 door,2020,12323,159999
6100,Defender,Land Rover,3 door,2023,0,499000
6101,LR4,Land Rover,5+ doors,2010,92000,42000
6102,Silverado,Chevrolet,4 door,2021,4000,163000
6103,Discovery,Land Rover,4 door,2020,12323,159999
6104,Phantom,Rolls Royce,4 door,2019,25589,1800000
6105,Bentayga,Bentley,4 door,2021,7000,1100000
6106,Phantom,Rolls Royce,2 door,2017,1000,2850000
6107,Cayenne,Porsche,4 door,2009,230000,24500
6108,Defender,Land Rover,5+ doors,2023,0,720000
6109,Ghost,Rolls Royce,4 door,2021,2000,1690000
6110,Range Rover,Land Rover,4 door,2010,80000,30000
6111,Ram,Dodge,4 door,2020,11000,110000
6112,Wrangler,Jeep,4 door,2009,8422,239000
6113,Maxima,Nissan,4 door,2016,170000,58000
6114,Sierra,GMC,2 door,2020,32000,145000
6115,Urus,Lamborghini,4 door,2021,15000,1245000
6116,Fortuner,Toyota,5+ doors,2022,15000,115000
6117,Range Rover Sport,Land Rover,4 door,2013,210000,119000
6118,Mustang,Ford,2 door,2017,61300,77000
6119,Yukon,GMC,5+ doors,2021,11412,275000
6120,Expedition,Ford,5+ doors,2021,8000,175000
6121,Explorer,Ford,4 door,2016,161000,56900
6122,Hilux,Toyota,4 door,2017,95000,57500
6123,A-Class,Mercedes-Benz,4 door,2016,85000,86000
6124,Urus,Lamborghini,5+ doors,2019,34000,1399000
6125,GL-Class,Mercedes-Benz,4 door,2015,163000,79000
6126,ATS,Cadillac,2 door,2018,35000,169000
6127,612 Scaglietti,Ferrari,2 door,2007,39561,239000
6128,Range Rover,Land Rover,5+ doors,2022,100,659000
6129,Range Rover,Land Rover,5+ doors,2022,100,659000
6130,Dawn,Rolls Royce,2 door,2017,42000,1250000
6131,LX-Series,Lexus,4 door,2012,180000,104000
6132,Tacoma,Toyota,4 door,2022,0,205000
6133,Tundra,Toyota,4 door,2022,0,286000
6134,CX-9,Mazda,4 door,2009,172000,26500
6135,GL-Class,Mercedes-Benz,4 door,2014,140000,85000
6136,S-Class,Mercedes-Benz,4 door,2009,141000,40000
6137,CT5,Cadillac,4 door,2020,60100,245000
6138,Aventador,Lamborghini,2 door,2015,32832,879000
6139,Cayenne,Porsche,4 door,2022,103,1039000
6140,Boxster,Porsche,2 door,2018,29429,329000
6141,Huracan,Lamborghini,2 door,2020,10000,969000
6142,S-Class,Mercedes-Maybach,4 door,2022,8000,1149000
6143,Patrol,Nissan,5+ doors,2021,66000,319500
6144,Continental Flying Spur,Bentley,4 door,2014,108000,225000
6145,X-Trail,Nissan,4 door,2019,121932,67800
6146,Ghibli,Maserati,4 door,2016,100000,114900
6147,Range Rover Velar,Land Rover,4 door,2020,82000,249000
6148,RX-Series,Lexus,4 door,2019,60000,164000
6149,SLS,Mercedes-Benz,2 door,2011,21466,799000
6150,Other,Mitsubishi,4 door,2022,7,140999
6151,Expert,Peugeot,4 door,2018,12000,69000
6152,Wrangler,Jeep,5+ doors,2021,37513,235000
6153,Touareg,Volkswagen,5+ doors,2016,100520,75000
6154,Cooper,MINI,3 door,2020,19413,103000
6155,S-Class,Mercedes-Benz,4 door,2014,128000,148000
6156,Sunny,Nissan,4 door,2019,49000,31000
6157,Continental Flying Spur,Bentley,4 door,2014,101323,213000
6158,Canter,Mitsubishi,2 door,2016,173231,59000
6159,Montero,Mitsubishi,5+ doors,2019,35136,93000
6160,Pajero,Mitsubishi,3 door,2012,170000,39900
6161,Corvette,Chevrolet,2 door,2016,42040,213000
6162,Tiguan,Volkswagen,5+ doors,2016,185577,49000
6163,GLE-Class,Mercedes-Benz,5+ doors,2017,90456,255000
6164,Z4,BMW,2 door,2019,28693,200000
6165,QX70,Infiniti,5+ doors,2018,67008,98000
6166,Cayenne,Porsche,5+ doors,2013,195550,59999
6167,Range Rover Evoque,Land Rover,5+ doors,2016,96676,92000
6168,Range Rover Evoque,Land Rover,5+ doors,2021,26009,275000
6169,E-Class,Mercedes-Benz,4 door,2014,147084,69000
6170,XC90,Volvo,5+ doors,2022,30000,255000
6171,Pathfinder,Nissan,5+ doors,2014,177801,34000
6172,Avanza,Toyota,5+ doors,2016,79800,38000
6173,Cruze,Chevrolet,4 door,2016,135919,26000
6174,Range Rover Sport,Land Rover,5+ doors,2010,108599,37000
6175,Grand Cherokee,Jeep,5+ doors,2017,114959,110000
6176,Pajero,Mitsubishi,5+ doors,2016,118000,57000
6177,Pathfinder,Nissan,5+ doors,2015,224480,43000
6178,X2,BMW,5+ doors,2020,48863,119900
6179,GTI,Volkswagen,5+ doors,2015,189123,42000
6180,Sierra,GMC,4 door,2020,30155,285000
6181,Q50,Infiniti,5+ doors,2015,99754,60000
6182,GLC,Mercedes-Benz,5+ doors,2019,36151,200000
6183,GT,Ford,2 door,2015,198000,88000
6184,Silverado,Chevrolet,2 door,2018,94291,67000
6185,Wrangler,Jeep,3 door,2016,167286,75000
6186,SL-Class,Mercedes-Benz,2 door,2015,71360,160000
6187,Edge,Ford,5+ doors,2016,144917,45000
6188,Sportage,Kia,5+ doors,2015,59874,47000
6189,Urus,Lamborghini,5+ doors,2020,15000,1250000
6190,SLK-Class,Mercedes-Benz,2 door,2009,166971,26000
6191,CLS-Class,Mercedes-Benz,4 door,2013,100500,77000
6192,Cooper,MINI,5+ doors,2019,35649,143900
6193,Pajero,Mitsubishi,5+ doors,2017,22002,73000
6194,LR2,Land Rover,5+ doors,2013,92275,43000
6195,Land Cruiser,Toyota,4 door,2022,0,390000
6196,Patrol,Nissan,4 door,2022,0,261000
6197,Cayenne,Porsche,5+ doors,2019,57930,330000
6198,Range Rover Velar,Land Rover,5+ doors,2018,56095,258500
6199,XE,Jaguar,4 door,2016,112869,63000
6200,CTS/Catera,Cadillac,4 door,2018,46507,200000
6201,LX-Series,Lexus,5+ doors,2016,145730,245000
6202,Outlander,Mitsubishi,4 door,2019,70579,73000
6203,Explorer,Ford,5+ doors,2013,174224,34000
6204,Range Rover Sport,Land Rover,5+ doors,2016,155642,167000
6205,Other,Isuzu,2 door,2017,233559,77000
6206,Patrol,Nissan,5+ doors,2014,179845,75000
6207,AMG GT 4 doors,Mercedes-Benz,4 door,2019,15000,439000
6208,Cayenne,Porsche,5+ doors,2008,159358,25000
6209,Grand Cherokee,Jeep,5+ doors,2018,27937,130000
6210,Explorer,Ford,5+ doors,2013,191571,45000
6211,XJ-Series,Jaguar,4 door,2013,64994,70000
6212,Challenger,Dodge,2 door,2013,241481,26500
6213,Patrol,Nissan,5+ doors,2013,107363,72500
6214,Pajero,Mitsubishi,5+ doors,2015,68500,51000
6215,Range Rover Velar,Land Rover,5+ doors,2018,46870,228000
6216,Mustang,Ford,2 door,2015,112676,65500
6217,Cayenne,Porsche,5+ doors,2014,91730,110000
6218,F8 Spider,Ferrari,2 door,2022,2000,1550000
6219,LX-Series,Lexus,5+ doors,2018,63863,318000
6220,Patrol,Nissan,5+ doors,2016,39000,139000
6221,Armada,Nissan,5+ doors,2009,259553,20000
6222,XE,Jaguar,4 door,2019,31000,140000
6223,Grand Cherokee,Jeep,5+ doors,2019,45682,141000
6224,Explorer,Ford,5+ doors,2006,223612,10000
6225,XE,Jaguar,4 door,2019,31000,140000
6226,Grand Cherokee,Jeep,5+ doors,2019,45682,141000
6227,Explorer,Ford,5+ doors,2006,223612,10000
6228,S3/RS3,Audi,4 door,2018,72779,184900
6229,Aveo,Chevrolet,4 door,2019,157000,26500
6230,C-Class,Mercedes-Benz,4 door,2019,41762,167000
6231,Rav 4,Toyota,4 door,2018,155000,68000
6232,Wrangler,Jeep,3 door,2020,57762,145000
6233,NX 300,Lexus,5+ doors,2018,70387,157000
6234,Yaris,Toyota,4 door,2019,117139,46900
6235,Range Rover Sport,Land Rover,5+ doors,2013,206892,53000
6236,Captiva,Chevrolet,4 door,2022,0,65000
6237,Patrol,Nissan,5+ doors,2019,58793,145000
6238,Quattroporte,Maserati,4 door,2014,86000,109900
6239,XC90,Volvo,5+ doors,2017,69913,134000
6240,V-Class,Volvo,5+ doors,2018,62689,75000
6241,Pickup,Toyota,3 door,2021,0,220000
6242,SLR,Mercedes-Benz,2 door,2008,23075,1299000
6243,Civic,Honda,4 door,2019,94824,65000
6244,Charger,Dodge,4 door,2018,86579,80000
6245,Cayenne,Porsche,5+ doors,2010,254809,31000
6246,CC,Volkswagen,4 door,2012,197818,23500
6247,Wrangler,Jeep,3 door,2018,49656,142000
6248,ES-Series,Lexus,4 door,2018,156602,110000
6249,Range Rover,Land Rover,5+ doors,2008,170941,22000
6250,CC,Volkswagen,4 door,2012,197818,23500
6251,Wrangler,Jeep,3 door,2018,49656,142000
6252,ES-Series,Lexus,4 door,2018,156602,110000
6253,Range Rover,Land Rover,5+ doors,2008,170941,22000
6254,GTI,Volkswagen,5+ doors,2017,119322,71000
6255,XC90,Volvo,5+ doors,2013,141906,33000
6256,Silverado,Chevrolet,4 door,2014,228547,49000
6257,IS-Series,Lexus,4 door,2015,165824,69000
6258,Soul,Kia,5+ doors,2015,129571,32000
6259,Zelas,Toyota,2 door,2014,192753,29900
6260,Cayenne,Porsche,5+ doors,2009,208486,24000
6261,X6,BMW,5+ doors,2015,95408,130000
6262,Prado,Toyota,5+ doors,2015,89894,95000
6263,Defender,Land Rover,5+ doors,2020,59000,355000
6264,S-Class,Mercedes-Benz,4 door,2016,120000,239000
6265,Fortuner,Toyota,5+ doors,2008,250000,32000
6266,S-Class Coupe,Mercedes-Benz,2 door,2017,102000,289000
6267,C-Class,Mercedes-Benz,4 door,2018,77948,139900
6268,IS-F,Lexus,4 door,2015,97480,57500
6269,XC60,Volvo,5+ doors,2012,286495,27000
6270,E-Class,Mercedes-Benz,4 door,2018,65000,109000
6271,Continental GT,Bentley,2 door,2013,140000,176000
6272,Grand Cherokee,Jeep,4 door,2015,155000,99000
6273,S5/RS5,Audi,4 door,2015,152000,87000
6274,S8,Audi,4 door,2013,165000,79000
6275,Quattroporte,Maserati,4 door,2019,49000,190000
6276,C-Class,Mercedes-Benz,4 door,2019,139000,145000
6277,488,Ferrari,2 door,2017,61000,565000
6278,E-Class,Mercedes-Benz,4 door,2022,70,325000
6279,Camry,Toyota,5+ doors,2022,0,143000
6280,Sonata,Hyundai,4 door,2022,0,109000
6281,Sonata,Hyundai,4 door,2022,0,109000
6282,MKX,Lincoln,4 door,2014,129320,37500
6283,LR4,Land Rover,4 door,2011,148000,39500
6284,G-Class,Mercedes-Benz,4 door,2022,29,1550000
6285,Land Cruiser,Toyota,4 door,2022,0,420000
6286,Q8,Audi,4 door,2022,33,470000
6287,Urus,Lamborghini,4 door,2022,58,1399000
6288,Cooper,MINI,2 door,2021,50,174000
6289,Carrera / 911,Porsche,2 door,2021,66,1089000
6290,7-Series,BMW,4 door,2020,35500,325000
6291,S-Class,Mercedes-Benz,4 door,2015,92000,145000
6292,GLC,Mercedes-Benz,4 door,2019,23000,130000
6293,CLA,Mercedes-Benz,4 door,2020,25000,135000
6294,X5,BMW,4 door,2011,115400,52000
6295,Continental,Bentley,4 door,2010,37200,149000
6296,M-Class,Mercedes-Benz,4 door,2013,129000,98000
6297,G-Class,Mercedes-Benz,4 door,2021,9100,999000
6298,GT,Mercedes-Benz,2 door,2022,26,1899000
6299,Range Rover Sport,Land Rover,4 door,2022,15,649000
6300,Grand Cherokee,Jeep,4 door,2017,102000,109900
6301,E-Class,Mercedes-Benz,4 door,2015,79000,169900
6302,Corolla,Toyota,4 door,2021,22139,66500
6303,L200,Mitsubishi,4 door,2023,0,93700
6304,Quattroporte,Maserati,4 door,2020,17000,279900
6305,CTS/Catera,Cadillac,4 door,2018,87000,169900
6306,TT,Audi,2 door,2017,76600,139000
6307,Urus,Lamborghini,4 door,2021,9700,1270000
6308,Wraith,Rolls Royce,2 door,2018,24000,1459000
6309,Bentayga,Bentley,4 door,2020,7000,729000
6310,Lancer,Mitsubishi,4 door,2015,270000,26500
6311,Prado,Toyota,5+ doors,2014,108000,83000
6312,SLC,Mercedes-Benz,5+ doors,2019,34000,120000
6313,F-Series Pickup,Ford,4 door,2018,71000,190000
6314,MKT,Lincoln,5+ doors,2012,134964,29500
6315,Bentayga,Bentley,5+ doors,2022,100,1399000
6316,S-Class,Mercedes-Benz,4 door,2014,114000,155000
6317,Wrangler,Jeep,2 door,2006,290000,36500
6318,GL-Class,Mercedes-Benz,4 door,2016,93000,108000
6319,Range Rover Sport,Land Rover,4 door,2015,172000,119000
6320,Wrangler Unlimited,Jeep,5+ doors,2018,87000,169000
6321,Cadenza,Kia,4 door,2021,60000,145000
6322,Huracan,Lamborghini,2 door,2022,21767,1250000
6323,Urus,Lamborghini,4 door,2022,19220,1299000
6324,Range Rover,Land Rover,4 door,2022,0,1099000
6325,LX600,Lexus,4 door,2022,0,675000
6326,X7,BMW,4 door,2022,59,459000
6327,GL-Class,Mercedes-Benz,4 door,2014,110000,89000
6328,ID.4,Volkswagen,5+ doors,2021,0,139000
6329,Range Rover Sport,Land Rover,4 door,2016,88000,149000
6330,ID.6,Volkswagen,5+ doors,2021,2400,199000
6331,ID.4,Volkswagen,4 door,2021,10000,145000
6332,X4,BMW,4 door,2022,24,289000
6333,Sunny,Nissan,4 door,2016,119000,23500
6334,Accord,Honda,2 door,2015,133000,39500
6335,X5,BMW,4 door,2022,500,429000
6336,Escalade,Cadillac,4 door,2022,30,449000
6337,Altima,Nissan,4 door,2019,67000,69500
6338,Veloster,Hyundai,4 door,2019,62000,39000
6339,G25,Infiniti,4 door,2014,193000,35500
6340,LX-Series,Lexus,5+ doors,2019,65000,335000
6341,Kicks,Nissan,4 door,2020,52877,52000
6342,Q7,Audi,4 door,2013,96000,69000
6343,A8,Audi,4 door,2013,100500,79000
6344,Q5,Audi,4 door,2014,90000,69000
6345,Cayenne,Porsche,4 door,2014,85000,119000
6346,GL-Class,Mercedes-Benz,4 door,2011,100000,59000
6347,5-Series,BMW,4 door,2013,90600,59000
6348,Cayenne,Porsche,4 door,2014,95000,98000
6349,Quattroporte,Maserati,4 door,2015,74000,118000
6350,Altima,Nissan,4 door,2016,100000,30000
6351,Roma,Ferrari,2 door,2021,4500,915000
6352,Cayenne,Porsche,5+ doors,2014,121500,119000
6353,Pajero,Mitsubishi,5+ doors,2014,62500,48000
6354,Accent,Hyundai,4 door,2017,125000,26000
6355,E-Class,Mercedes-Benz,4 door,2011,156131,39000
6356,S-Class,Mercedes-Benz,4 door,2014,97000,165000
6357,S-Class,Mercedes-Benz,4 door,2014,75000,160000
6358,C-Class,Mercedes-Benz,4 door,2016,41000,138000
6359,Sportage,Kia,4 door,2019,94000,65000
6360,Range Rover Velar,Land Rover,4 door,2018,84000,214900
6361,GL-Class,Mercedes-Benz,4 door,2015,132000,114900
6362,6-Series,BMW,4 door,2016,126000,109900
6363,M-Class,Mercedes-Benz,4 door,2013,190000,62000
6364,Range Rover Sport,Land Rover,4 door,2018,73000,300000
6365,Range Rover,Land Rover,4 door,2020,55000,380000
6366,F-Series Pickup,Ford,4 door,2019,45000,125000
6367,Pickup,Ford,4 door,2019,68000,125000
6368,Trax,Chevrolet,4 door,2019,70000,53000
6369,Range Rover,Land Rover,4 door,2010,174658,32000
6370,Range Rover Sport,Land Rover,4 door,2020,45000,369000
6371,Q5,Audi,4 door,2016,90000,89000
6372,X6,BMW,4 door,2014,91000,89000
6373,Q7,Audi,4 door,2013,100000,69000
6374,Range Rover Sport,Land Rover,4 door,2013,90000,69000
6375,Corolla,Toyota,4 door,2009,217000,20000
6376,Pathfinder,Nissan,5+ doors,2015,196000,42000
6377,Sentra,Nissan,4 door,2019,60000,29500
6378,E-Class,Mercedes-Benz,4 door,2017,122000,109000
6379,Traverse,Chevrolet,4 door,2014,126923,33000
6380,SL-Class,Mercedes-Benz,2 door,1987,94000,250000
6381,Sunny,Nissan,4 door,2019,73500,27800
6382,Corolla,Toyota,4 door,2015,65000,35000
6383,GS-Series,Lexus,4 door,2005,243000,19000
6384,Accord,Honda,4 door,2015,125500,46500
6385,Rapide,Aston Martin,4 door,2014,43100,325000
6386,H1,Hyundai,4 door,2015,300000,35000
6387,A8,Audi,4 door,2012,137000,47000
6388,Hilux,Toyota,4 door,2021,41000,97000
6389,X6,BMW,5+ doors,2014,190000,65000
6390,Explorer,Ford,4 door,2010,240000,16000
6391,GX-Series,Lexus,5+ doors,2019,84000,178000
6392,Grand Cherokee,Jeep,4 door,2013,127000,52500
6393,Swift,Suzuki,4 door,2015,194000,22000
6394,Pajero,Mitsubishi,4 door,2014,128000,47500
6395,Tahoe,Chevrolet,4 door,2015,114000,99500
6396,Patrol,Nissan,4 door,2019,54000,133000
6397,Corolla,Toyota,4 door,2015,128000,35000
6398,CR-V,Honda,4 door,2011,147080,28000
6399,Silverado,Chevrolet,4 door,2019,38000,147000
6400,Model 3,Tesla,4 door,2021,30000,217500
6401,Maxima,Nissan,4 door,2019,130000,89000
6402,Maxima,Nissan,4 door,2022,600,138000
6403,Sentra,Nissan,4 door,2016,130000,34000
6404,LS-Series,Lexus,4 door,2011,150000,41000
6405,Malibu,Chevrolet,4 door,2017,170000,49000
6406,Bentayga,Bentley,4 door,2017,45800,515000
6407,CX-9,Mazda,5+ doors,2016,162000,63000
6408,Picanto,Kia,4 door,2018,58000,34900
6409,CR-V,Honda,5+ doors,2018,97000,70000
6410,A8,Audi,4 door,2016,200000,78000
6411,Pajero,Mitsubishi,5+ doors,2019,65613,79000
6412,Koleos,Renault,5+ doors,2019,46241,89000
6413,Escalade,Cadillac,5+ doors,2018,139000,185000
6414,Symbol,Renault,4 door,2020,10154,49000
6415,Dokker,Renault,3 door,2021,14340,58000
6416,3-Series,BMW,4 door,2016,86134,69900
6417,Carrera / 911,Porsche,2 door,2016,36500,380000
6418,Sportage,Kia,5+ doors,2019,81222,73000
6419,Creta,Hyundai,5+ doors,2018,85113,59000
6420,X5,BMW,4 door,2011,200000,45000
6421,Fortuner,Toyota,5+ doors,2020,71000,115500
6422,Fortuner,Toyota,5+ doors,2014,175000,55000
6423,Land Cruiser,Toyota,4 door,2022,0,435000
6424,E-Class,Mercedes-Benz,4 door,2018,260000,63000
6425,Altima,Nissan,4 door,2013,268000,21500
6426,Veracruz,Hyundai,4 door,2013,96000,30000
6427,Patrol,Nissan,4 door,2016,31000,175000
6428,Pathfinder,Nissan,5+ doors,2014,187000,42000
6429,A5,Audi,2 door,2013,124000,55000
6430,Patrol,Nissan,4 door,2015,130000,115000
6431,Altima,Nissan,4 door,2013,237000,24000
6432,Land Cruiser,Toyota,4 door,2022,0,320000
6433,Picanto,Kia,4 door,2015,124000,20000
6434,A3,Audi,4 door,2022,44,135000
6435,Outlander,Mitsubishi,5+ doors,2013,276000,20000
6436,Range Rover,Land Rover,4 door,2018,127000,313000
6437,Patrol,Nissan,5+ doors,2012,166893,59000
6438,Touareg,Volkswagen,5+ doors,2014,116000,65000
6439,Corvette,Chevrolet,2 door,2020,17500,419000
6440,Maxima,Nissan,4 door,2017,33888,50000
6441,M-Class,Mercedes-Benz,4 door,2014,87000,89000
6442,S-Class,Mercedes-Benz,4 door,2018,105000,310000
